States,Capital
Andhra Pradesh,Amravathi
Arunachal Pradesh,Itanagar
Assam,Dispur
Bihar,Patna
Chhattisgarh,Raipur
Goa,Panaji
Gujarat,Gandhinagar
Haryana,Chandigarh
Himachal Pradesh,Shimla
Jammu & Kashmir,Srinagar
Jharkhand,Ranchi
Karnataka,Bangalore
Kerala,Thiruvananthapuram
Madhya Pradesh,Bhopal
Maharashtra,Mumbai
Manipur,Imphal
Meghalaya,Shillong
Mizoram,Aizawl
Nagaland,Kohima
Odisha (Orissa),Bhubaneshwar
Punjab,Chandigarh
Rajasthan,Jaipur
Sikkim,Gangtok
Tamil Nadu,Chennai
Telangana,Hyderabad 
Tripura,Agartala
Uttar Pradesh,Lucknow
Uttarakhand,Dehradun
West Bengal,Kolkata
Andaman and Nicobar Islands,Port Blair
Chandigarh,Chandigarh
Dadra and Nagar Haveli,Silvassa
Daman and Diu,Daman
Lakshadweep,Kavaratti
Delhi – National Capital Territory,Delhi
Puducherry,Pondicherry
